municipio,total,5 estrellas,4 estrellas,3 estrellas,2 estrellas,1 estrellas,sin categoria,año
SAN JUANITO DE ESCOBEDO,1,0,0,0,0,0,1,2014
SAN MARCOS,1,0,0,0,0,0,1,2014
SAN MARTÍN HIDALGO,2,0,0,0,0,1,1,2014
TALA,4,0,0,2,0,1,1,2014
TEQUILA,22,2,6,4,4,1,5,2014
TEUCHITLÁN,4,0,2,0,0,1,1,2014
CUQUÍO,4,0,0,2,2,0,0,2014
EL SALTO,2,0,1,0,0,0,1,2014
GUADALAJARA,230,23,43,43,10,39,72,2014
IXTLAHUACÁN DE LOS MEMBRILLOS,1,0,1,0,0,0,0,2014
IXTLAHUACÁN DEL RÍO,0,0,0,0,0,0,1,2014
SAN CRISTÓBAL DE LA BARRANCA,2,1,0,0,0,0,1,2014
SAN PEDRO TLAQUEPAQUE,36,2,9,5,0,2,17,2014
TLAJOMULCO DE ZÚÑIGA,7,1,1,1,0,0,4,2014
TONALÁ,11,0,0,6,0,3,2,2014
VILLA CORONA,10,0,0,0,0,2,8,2014
ZAPOPAN,70,8,19,11,2,1,29,2014
ZAPOTLANEJO,7,0,1,3,0,2,1,2014
BOLAÑOS,3,0,0,0,0,1,2,2015
CHIMALTITÁN,1,0,0,0,0,0,1,2015
COLOTLÁN,2,0,1,0,0,1,0,2015
HUEJÚCAR,4,0,0,0,0,4,0,2015
HUEJUQUILLA EL ALTO,4,0,0,2,0,0,2,2015
MEZQUITIC,4,0,1,0,1,0,2,2015
SAN MARTÍN DE BOLAÑOS,2,0,0,0,0,1,1,2015
TOTATICHE,7,0,0,0,0,1,6,2015
VILLA GUERRERO,1,0,0,0,0,0,1,2015
ENCARNACIÓN DE DÍAZ,8,0,0,3,4,0,1,2015
LAGOS DE MORENO,30,2,2,6,4,1,15,2015
OJUELOS DE JALISCO,7,0,0,0,0,1,6,2015
SAN DIEGO DE ALEJANDRÍA,6,0,0,0,0,2,4,2015
SAN JUAN DE LOS LAGOS,106,4,10,21,20,34,17,2015
TEOCALTICHE,5,0,0,1,3,0,1,2015
UNIÓN DE SAN ANTONIO,3,0,0,1,0,2,0,2015
VILLA HIDALGO,14,0,2,1,1,3,7,2015
ACATIC,5,0,0,0,1,1,3,2015
ARANDAS,11,2,1,4,3,1,0,2015
CAÑADAS DE OBREGÓN,1,0,0,0,0,0,1,2015
JALOSTOTITLÁN,7,0,0,2,2,2,1,2015
JESÚS MARÍA,3,0,0,0,0,0,3,2015
MEXTICACÁN,1,0,0,0,0,1,0,2015
SAN IGNACIO CERRO GORDO,2,0,0,0,2,0,0,2015
SAN JULIÁN,2,1,1,0,0,0,0,2015
SAN MIGUEL EL ALTO,4,0,2,0,0,0,2,2015
TEPATITLÁN DE MORELOS,19,0,7,5,3,0,4,2015
VALLE DE GUADALUPE,1,0,0,0,0,0,1,2015
YAHUALICA DE GONZÁLEZ GALLO,5,0,0,1,1,2,1,2015
ATOTONILCO EL ALTO,7,1,1,0,2,0,3,2015
AYOTLÁN,6,0,0,3,2,0,1,2015
