municipio,total,5 estrellas,4 estrellas,3 estrellas,2 estrellas,1 estrellas,sin categoria,año
EL LIMÓN,22,0,0,13,0,0,9,2016
JUCHITLÁN,6,0,0,0,6,0,0,2016
TECOLOTLÁN,70,0,0,0,12,58,0,2016
TENAMAXTLÁN,28,0,0,0,0,0,28,2016
TONAYA,38,0,0,0,21,0,17,2016
UNIÓN DE TULA,83,0,0,19,0,0,64,2016
AUTLÁN DE NAVARRO,411,0,32,174,143,62,0,2016
CASIMIRO CASTILLO,66,0,0,34,32,0,0,2016
CIHUATLÁN,2251,192,511,823,283,264,178,2016
CUAUTITLÁN DE GARCÍA BARRAGÁN ,28,0,0,0,0,28,0,2016
LA HUERTA,790,151,240,165,72,53,109,2016
VILLA PURIFICACIÓN,74,0,0,0,0,0,74,2016
CABO CORRIENTES,128,3,29,59,16,0,21,2016
PUERTO VALLARTA,23797,6465,3958,1525,664,381,10804,2016
TOMATLÁN,110,0,32,26,52,0,0,2016
ATENGUILLO,63,0,0,0,0,0,63,2016
AYUTLA,76,0,0,0,0,0,76,2016
CUAUTLA,29,0,0,0,20,0,9,2016
GUACHINANGO,39,0,0,0,0,0,39,2016
MASCOTA,350,51,75,113,77,34,0,2016
MIXTLÁN,40,0,0,0,0,0,40,2016
SAN SEBASTIÁN DEL OESTE,141,24,6,74,6,0,31,2016
TALPA DE ALLENDE,1481,0,26,56,0,40,1359,2016
AHUALULCO DE MERCADO,116,0,0,0,0,0,116,2016
AMATITÁN,22,0,0,0,0,22,0,2016
AMECA,153,0,40,34,28,0,51,2016
COCULA,75,0,0,0,0,0,75,2016
EL ARENAL,66,0,0,0,0,0,66,2016
ETZATLÁN,79,0,0,0,0,0,79,2016
HOSTOTIPAQUILLO,7,0,0,0,0,0,7,2016
MAGDALENA,133,0,0,0,0,0,133,2016
SAN JUANITO DE ESCOBEDO,4,0,0,0,0,0,4,2016
SAN MARCOS,21,0,0,0,0,0,21,2016
SAN MARTÍN HIDALGO,128,0,0,0,74,54,0,2016
TALA,122,0,0,0,0,0,122,2016
TEQUILA,482,20,133,70,33,119,107,2016
TEUCHITLÁN,56,0,0,0,0,0,56,2016
ACATLAN DE JUAREZ,14,0,0,0,0,0,14,2016
CUQUÍO,61,0,61,0,0,0,0,2016
EL SALTO,412,0,304,108,0,0,0,2016
GUADALAJARA,17251,3895,6378,3099,2850,610,419,2016
IXTLAHUACÁN DE LOS MEMBRILLOS,61,0,12,0,0,11,38,2016
IXTLAHUACÁN DEL RÍO,20,0,0,0,0,0,20,2016
SAN PEDRO TLAQUEPAQUE,1075,298,202,575,0,0,0,2016
TLAJOMULCO DE ZÚÑIGA,341,10,135,139,0,0,57,2016
TONALÁ,423,14,0,348,61,0,0,2016
VILLA CORONA,107,0,0,0,0,0,107,2016
ZAPOPAN,6128,1247,2902,1068,42,0,869,2016
ZAPOTLANEJO,188,0,18,153,17,0,0,2016
ACATIC,66,0,0,0,0,0,66,2017
ACATLÁN DE JUÁREZ,14,0,0,0,0,0,14,2017
AHUALULCO DE MERCADO,116,0,0,0,0,0,116,2017
AMACUECA,10,0,0,0,0,0,10,2017
AMATITÁN,22,0,0,0,0,0,22,2017
AMECA,153,0,40,34,28,0,51,2017
ARANDAS,383,14,60,30,97,182,0,2017
ATEMAJAC DE BRIZUELA,59,19,0,8,22,0,10,2017
ATENGO,12,0,0,0,0,0,12,2017
ATENGUILLO,63,0,0,0,0,0,63,2017
ATOTONILCO EL ALTO,167,0,30,41,0,0,96,2017
ATOYAC,71,41,0,0,16,14,0,2017
AUTLÁN DE NAVARRO,411,0,32,174,143,62,0,2017
AYOTLÁN,44,0,0,44,0,0,0,2017
